Iteration	SimID	Obj	Parmaters
1	1	[-4.573689479039173]	@[-12.083333333333334, -3.333333333333334, 6.875, 9.791666666666668, 12.708333333333332, -12.083333333333334, 1.0416666666666643, 14.166666666666668, 5.416666666666668, -1.875]
1	0	[-4.2545883601607795]	@[-13.541666666666666, 17.08333333333333, 11.25, 5.416666666666668, -7.708333333333333, -4.791666666666666, -3.333333333333334, -4.791666666666666, -4.791666666666666, 2.5]
1	2	[-3.2772579724658626]	@[-10.625, 14.166666666666668, -7.708333333333333, -0.4166666666666661, -12.083333333333334, -7.708333333333333, 12.708333333333332, 9.791666666666668, -6.25, 15.625]
1	3	[-6.926425202267689]	@[-9.166666666666668, 8.333333333333332, -12.083333333333334, -4.791666666666666, 2.5, -3.333333333333334, -1.875, 1.0416666666666643, 3.958333333333332, 6.875]
1	4	[-2.5732320888082496]	@[-7.708333333333333, 20.0, -13.541666666666666, 8.333333333333332, 9.791666666666668, 2.5, -9.166666666666668, 15.625, 15.625, -7.708333333333333]
1	5	[-4.815875046270682]	@[-6.25, 6.875, 1.0416666666666643, 18.54166666666667, -1.875, -1.875, -12.083333333333334, -6.25, -3.333333333333334, -12.083333333333334]
1	6	[-2.603210487299852]	@[-4.791666666666666, 18.54166666666667, -3.333333333333334, 17.08333333333333, -13.541666666666666, -0.4166666666666661, 17.08333333333333, 17.08333333333333, -7.708333333333333, -3.333333333333334]
1	7	[-3.8653066694421465]	@[-3.333333333333334, 12.708333333333332, -6.25, -13.541666666666666, -0.4166666666666661, 17.08333333333333, 2.5, -1.875, -0.4166666666666661, 12.708333333333332]
1	8	[-3.087821697869396]	@[-1.875, 15.625, 2.5, -9.166666666666668, 17.08333333333333, 5.416666666666668, 14.166666666666668, -12.083333333333334, 17.08333333333333, 5.416666666666668]
1	9	[-3.0563200865639315]	@[-0.4166666666666661, 3.958333333333332, 17.08333333333333, 14.166666666666668, 15.625, -9.166666666666668, 6.875, -0.4166666666666661, -13.541666666666666, -13.541666666666666]
1	10	[-4.750721578033105]	@[1.0416666666666643, -4.791666666666666, -9.166666666666668, 3.958333333333332, -4.791666666666666, 12.708333333333332, 11.25, 3.958333333333332, -12.083333333333334, 17.08333333333333]
1	11	[-4.134917296366428]	@[2.5, 5.416666666666668, 8.333333333333332, -6.25, 5.416666666666668, -13.541666666666666, -13.541666666666666, -13.541666666666666, -1.875, -4.791666666666666]
1	13	[-3.1640361617122097]	@[5.416666666666668, 11.25, 15.625, 2.5, 11.25, -6.25, -4.791666666666666, 2.5, 18.54166666666667, -10.625]
1	12	[-3.4146897865188723]	@[3.958333333333332, 1.0416666666666643, -1.875, 12.708333333333332, 1.0416666666666643, 20.0, 20.0, 20.0, 8.333333333333332, 11.25]
1	14	[-2.912256216724698]	@[6.875, 2.5, -10.625, -7.708333333333333, -9.166666666666668, 15.625, -0.4166666666666661, 6.875, 20.0, 20.0]
1	15	[-3.5464541393062006]	@[8.333333333333332, -9.166666666666668, 3.958333333333332, 15.625, -10.625, 1.0416666666666643, -7.708333333333333, 18.54166666666667, -10.625, 1.0416666666666643]
1	16	[-3.875099666684994]	@[9.791666666666668, -6.25, 12.708333333333332, 20.0, 6.875, -10.625, 3.958333333333332, 8.333333333333332, 6.875, -6.25]
1	17	[-2.9561924087546783]	@[11.25, -12.083333333333334, 9.791666666666668, -10.625, 20.0, 6.875, -10.625, -10.625, 14.166666666666668, 9.791666666666668]
1	18	[-2.510132939965489]	@[12.708333333333332, -0.4166666666666661, 5.416666666666668, -12.083333333333334, 8.333333333333332, 8.333333333333332, 18.54166666666667, 12.708333333333332, 9.791666666666668, 18.54166666666667]
1	19	[-3.117797483870782]	@[14.166666666666668, -13.541666666666666, 20.0, -1.875, -3.333333333333334, 3.958333333333332, 15.625, -9.166666666666668, -9.166666666666668, 14.166666666666668]
1	20	[-3.6351463752849607]	@[15.625, -1.875, 18.54166666666667, 11.25, 3.958333333333332, 9.791666666666668, 8.333333333333332, 5.416666666666668, 2.5, -0.4166666666666661]
1	21	[-2.9303660630241053]	@[17.08333333333333, -7.708333333333333, 14.166666666666668, 6.875, 18.54166666666667, 14.166666666666668, -6.25, -3.333333333333334, 12.708333333333332, -9.166666666666668]
1	22	[-3.4163560221347424]	@[18.54166666666667, 9.791666666666668, -0.4166666666666661, -3.333333333333334, -6.25, 18.54166666666667, 5.416666666666668, -7.708333333333333, 1.0416666666666643, 8.333333333333332]
1	23	[-3.561507279214236]	@[20.0, -10.625, -4.791666666666666, 1.0416666666666643, 14.166666666666668, 11.25, 9.791666666666668, 11.25, 11.25, 3.958333333333332]
2	0	[-2.9251037090887033]	@[-11.244348208315845, 3.307408709356687, -14.463909525993904, 4.694025593836246, -11.308871204659033, -2.6652704129330598, 19.141598026208026, -6.699629121571687, 18.722640672719024, 0.1956712000521179]
2	1	[-3.5505730780408116]	@[-14.841328804606217, -8.53151677389921, -13.998664294356855, 10.553874604661134, 5.837244966865231, -11.230358676224274, -11.892685267015457, -10.905764951880755, -5.275393519174978, 6.5220158304096145]
2	2	[-5.376291110993295]	@[-11.388449527554346, -6.7163732209559335, -14.273608727741976, -11.132727024472963, -3.970302535470533, -4.284568204461574, -6.224508932790014, -3.1490526208338707, -1.6090909068425523, -2.877383756689138]
2	4	[-3.5391486442740114]	@[-13.996329623922833, -9.848223934780496, -7.576440002731642, 18.309580981982343, -7.834158471776469, 6.573822554748746, 1.5892888912762646, 2.3157208320637817, 5.455235812275462, 11.50027921707777]
